,context,question,answer,start_idx,end_idx
1134,"Wang, Štrkalj et al. (2003) examined the use of race as a biological concept in research papers published in China's only biological anthropology journal, Acta Anthropologica Sinica. The study showed that the race concept was widely used among Chinese anthropologists. In a 2007 review paper, Štrkalj suggested that the stark contrast of the racial approach between the United States and China was due to the fact that race is a factor for social cohesion among the ethnically diverse people of China, whereas ""race"" is a very sensitive issue in America and the racial approach is considered to undermine social cohesion - with the result that in the socio-political context of US academics scientists are encouraged not to use racial categories, whereas in China they are encouraged to use them.",Why does race undermine social cohesion in America?,sensitive issue,527,542
244,"Long distance migrants are believed to disperse as young birds and form attachments to potential breeding sites and to favourite wintering sites. Once the site attachment is made they show high site-fidelity, visiting the same wintering sites year after year.",What happens when the site attachment is made?,they show high site-fidelity,179,207
1157,"Regression testing focuses on finding defects after a major code change has occurred. Specifically, it seeks to uncover software regressions, as degraded or lost features, including old bugs that have come back. Such regressions occur whenever software functionality that was previously working correctly, stops working as intended. Typically, regressions occur as an unintended consequence of program changes, when the newly developed part of the software collides with the previously existing code. Common methods of regression testing include re-running previous sets of test-cases and checking whether previously fixed faults have re-emerged. The depth of testing depends on the phase in the release process and the risk of the added features. They can either be complete, for changes added late in the release or deemed to be risky, or be very shallow, consisting of positive tests on each feature, if the changes are early in the release or deemed to be of low risk. Regression testing is typically the largest test effort in commercial software development, due to checking numerous details in prior software features, and even new software can be developed while using some old test-cases to test parts of the new design to ensure prior functionality is still supported.",What happens to software after a major change in code that leads to regression??,stops working as intended,306,331
1244,"WHO recommends a child with diarrhea continue to be fed. Continued feeding speeds the recovery of normal intestinal function. In contrast, children whose food is restricted have diarrhea of longer duration and recover intestinal function more slowly. A child should also continue to be breastfed. The WHO states ""Food should never be withheld and the child's usual foods should not be diluted. Breastfeeding should always be continued."" And in the specific example of cholera, CDC also makes the same recommendation. In young children who are not breast-fed and live in the developed world, a lactose-free diet may be useful to speed recovery.",What happens when a childs food is restricted?,children whose food is restricted have diarrhea of longer duration and recover intestinal function more slowly,139,249
721,"The World Health Organization and the UN Environment Programme estimate that each year, 3 million workers in agriculture in the developing world experience severe poisoning from pesticides, about 18,000 of whom die. Owing to inadequate regulation and safety precautions, 99% of pesticide related deaths occur in developing countries that account for only 25% of pesticide usage. According to one study, as many as 25 million workers in developing countries may suffer mild pesticide poisoning yearly. There are several careers aside from agriculture that may also put individuals at risk of health effects from pesticide exposure including pet groomers, groundskeepers, and fumigators.",Why are 99% of pesticide related deaths in underdeveloped countries?,inadequate regulation,225,246
1583,"No Islamic visual images or depictions of God are meant to exist because it is believed that such artistic depictions may lead to idolatry. Moreover, Muslims believe that God is incorporeal, making any two- or three- dimensional depictions impossible. Instead, Muslims describe God by the names and attributes that, according to Islam, he revealed to his creation. All but one sura of the Quran begins with the phrase ""In the name of God, the Beneficent, the Merciful"". Images of Mohammed are likewise prohibited. Such aniconism and iconoclasm can also be found in Jewish and some Christian theology.",Why is depicting God forbidden in the Islamic world?,such artistic depictions may lead to idolatry,93,138
1001,"Media Transfer Protocol (MTP) was designed by Microsoft to give higher-level access to a device's filesystem than USB mass storage, at the level of files rather than disk blocks. It also has optional DRM features. MTP was designed for use with portable media players, but it has since been adopted as the primary storage access protocol of the Android operating system from the version 4.1 Jelly Bean as well as Windows Phone 8 (Windows Phone 7 devices had used the Zune protocol which was an evolution of MTP). The primary reason for this is that MTP does not require exclusive access to the storage device the way UMS does, alleviating potential problems should an Android program request the storage while it is attached to a computer. The main drawback is that MTP is not as well supported outside of Windows operating systems.",Why has MTP become the primary storage access protocol of the Android operating system?,MTP does not require exclusive access to the storage device the way UMS does,548,624
1338,"Following Anwar Sadat's ascension to the Egyptian presidency, Libya's relations with Egypt deteriorated. Sadat was perturbed by Gaddafi's unpredictability and insistence that Egypt required a cultural revolution. In February 1973, Israeli forces shot down Libyan Arab Airlines Flight 114, which had strayed from Egyptian airspace into Israeli-held territory during a sandstorm. Gaddafi was infuriated that Egypt had not done more to prevent the incident, and in retaliation planned to destroy the RMS Queen Elizabeth 2, a British ship chartered by American Jews to sail to Haifa for Israel's 25th anniversary. Gaddafi ordered an Egyptian submarine to target the ship, but Sadat cancelled the order, fearing a military escalation.",Why did Libyan Arab Airlines Flight 114 accidentally fly into Israel's airspace?,sandstorm,367,376
798,"Bermuda's modern black population contains more than one demographic group. Although the number of residents born in Africa is very small, it has tripled between 2000 and 2010 (this group also includes non-blacks). The majority of blacks in Bermuda can be termed ""Bermudian blacks"", whose ancestry dates back centuries between the 17th century and the end of slavery in 1834, Bermuda's black population was self-sustaining, with its growth resulting largely from natural expansion. This contrasts to the enslaved blacks of the plantation colonies, who were subjected to conditions so harsh as to drop their birth rate below the death rate, and slaveholders in the United States and the West Indies found it necessary to continue importing more enslaved blacks from Africa until the end of slavery (the same had been true for the Native Americans that the Africans had replaced on the New World plantations). The indigenous populations of many West Indian islands, and much of the South-East of what is now the United States that had survived the 16th- and 17th-century epidemics of European-introduced diseases then became the victims of large-scale slave raiding, with much of the region completely depopulated. When the supply of indigenous slaves ran out, the slaveholders looked to Africa). The ancestry of Bermuda's black population is distinguished from that of the British West Indian black population in two ways: firstly, the higher degree of European and Native American admixture; secondly, the source of the African ancestry.",Why can Bermudian blacks trace their ancestry back over centuries in Bermuda?,"Bermuda's black population was self-sustaining, with its growth resulting largely from natural expansion",376,480
968,"Some recordings, such as books for the blind, were pressed at 16 2⁄3 rpm. Prestige Records released jazz records in this format in the late 1950s; for example, two of their Miles Davis albums were paired together in this format. Peter Goldmark, the man who developed the 33 1⁄3 rpm record, developed the Highway Hi-Fi 16 2⁄3 rpm record to be played in Chrysler automobiles, but poor performance of the system and weak implementation by Chrysler and Columbia led to the demise of the 16 2⁄3 rpm records. Subsequently, the 16 2⁄3 rpm speed was used for narrated publications for the blind and visually impaired, and were never widely commercially available, although it was common to see new turntable models with a 16 rpm speed setting produced as late as the 1970s.",Why did Chrysler discontinue use of the Hifi 16 2/3 rpm record?,poor performance,378,394
