,context,answer,question,start_idx,end_idx
0,"The Normans are noted both for their culture , such as their unique Romanesque architecture and musical traditions , and for their significant military accomplishments and innovations .Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines , and an expedition on behalf of their duke , William the Conqueror , led to the Norman conquest of England at the Battle of Hastings in 1066 .Norman cultural and military influence spread from these new European centres to the Crusader states of the Near East , where their prince Bohemond I founded the Principality of Antioch in the Levant , to Scotland and Wales in Great Britain , to Ireland , and to the coasts of north Africa and the Canary Islands .",William the Conqueror,"who was the duke of sicily in 1066 ?
",358,378
1,"The Normans are noted both for their culture , such as their unique Romanesque architecture and musical traditions , and for their significant military accomplishments and innovations .Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines , and an expedition on behalf of their duke , William the Conqueror , led to the Norman conquest of England at the Battle of Hastings in 1066 .Norman cultural and military influence spread from these new European centres to the Crusader states of the Near East , where their prince Bohemond I founded the Principality of Antioch in the Levant , to Scotland and Wales in Great Britain , to Ireland , and to the coasts of north Africa and the Canary Islands .",the Norman conquest of England at the Battle of Hastings in 1066,"what did william the conqueror ' s expedition lead to ?
",389,452
2,"Most Norman knights remained poor and land-hungry , and by 1066 Normandy had been exporting fighting horsemen for more than a generation .Many Normans of Italy , France and England eventually served as avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart .Soon after the Normans began to enter Italy , they entered the Byzantine Empire and then Armenia , fighting against the Pechenegs , the Bulgars , and especially the Seljuk Turks .",avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart .,"what did many normans of italy , france and england serve as ?
",202,307
3,"Most Norman knights remained poor and land-hungry , and by 1066 Normandy had been exporting fighting horsemen for more than a generation .Many Normans of Italy , France and England eventually served as avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart .Soon after the Normans began to enter Italy , they entered the Byzantine Empire and then Armenia , fighting against the Pechenegs , the Bulgars , and especially the Seljuk Turks .","Many Normans of Italy , France and England eventually served","who became avid crusaders under italo - norman prince bohemund i ?
",138,197
4,"Several families of Byzantine Greece were of Norman mercenary origin during the period of the Comnenian Restoration , when Byzantine emperors were seeking out western European warriors .The Raoulii were descended from an Italo-Norman named Raoul , the Petraliphae were descended from a Pierre d'Aulps , and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038 .Robert Guiscard , an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes , ultimately drove the Byzantines out of southern Italy .",the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038 .,"how did the maniakates get their name ?
",345,456
5,"Several families of Byzantine Greece were of Norman mercenary origin during the period of the Comnenian Restoration , when Byzantine emperors were seeking out western European warriors .The Raoulii were descended from an Italo-Norman named Raoul , the Petraliphae were descended from a Pierre d'Aulps , and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038 .Robert Guiscard , an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes , ultimately drove the Byzantines out of southern Italy .",group of Albanian clans known,"what were the maniakates ?
",312,340
6,"The Raoulii were descended from an Italo-Norman named Raoul , the Petraliphae were descended from a Pierre d'Aulps , and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038 .Robert Guiscard , an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes , ultimately drove the Byzantines out of southern Italy .Having obtained the consent of pope Gregory VII and acting as his vassal , Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church .","the result of his military successes , ultimately drove the Byzantines out of southern Italy .","why was robert guiscard elevated to count of apulia ?
",373,466
7,"The Raoulii were descended from an Italo-Norman named Raoul , the Petraliphae were descended from a Pierre d'Aulps , and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038 .Robert Guiscard , an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes , ultimately drove the Byzantines out of southern Italy .Having obtained the consent of pope Gregory VII and acting as his vassal , Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church .","Robert Guiscard , an other Norman adventurer previously elevated to the dignity of count of Apulia","who drove the byzantines out of southern italy ?
",271,368
8,"Robert Guiscard , an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes , ultimately drove the Byzantines out of southern Italy .Having obtained the consent of pope Gregory VII and acting as his vassal , Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church .After allying himself with Croatia and the Catholic cities of Dalmatia , in 1081 he led an army of 30,000 men in 300 ships landing on the southern shores of Albania , capturing Valona , Kanina , Jericho -LRB- Orikumi -RRB- , and reaching Butrint after numerous pillages .",Having obtained the consent of pope Gregory VII and acting as his vassal,"why did robert guiscard continue his conquest of the balkan peninsula ?
",196,267
9,"Robert Guiscard , an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes , ultimately drove the Byzantines out of southern Italy .Having obtained the consent of pope Gregory VII and acting as his vassal , Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church .After allying himself with Croatia and the Catholic cities of Dalmatia , in 1081 he led an army of 30,000 men in 300 ships landing on the southern shores of Albania , capturing Valona , Kanina , Jericho -LRB- Orikumi -RRB- , and reaching Butrint after numerous pillages .",Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church .,"what did robert guiscard do as a vassal of the pope ?
",271,396
