,Unnamed: 0,context,answer,question,start_idx,end_idx,predicted_answer,score
0,0,"The Normans are noted both for their culture, such as their unique Romanesque architecture and musical traditions, and for their significant military accomplishments and innovations. Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066. Norman cultural and military influence spread from these new European centres to the Crusader states of the Near East, where their prince Bohemond I founded the Principality of Antioch in the Levant, to Scotland and Wales in Great Britain, to Ireland, and to the coasts of north Africa and the Canary Islands.",William the Conqueror,"who was the duke of sicily in 1066 ?
",354,374,william the conqueror,1.0
1,1,"The Normans are noted both for their culture, such as their unique Romanesque architecture and musical traditions, and for their significant military accomplishments and innovations. Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066. Norman cultural and military influence spread from these new European centres to the Crusader states of the Near East, where their prince Bohemond I founded the Principality of Antioch in the Levant, to Scotland and Wales in Great Britain, to Ireland, and to the coasts of north Africa and the Canary Islands.",the Norman conquest of England at the Battle of Hastings in 1066,"what did william the conqueror ' s expedition lead to ?
",384,447,the norman conquest of england,0.5714285714285715
2,2,"The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote. ",the secession crisis following the election of Abraham Lincoln in 1860,"what led to the proposal never coming to a vote ?
",100,169,the secession crisis following the election of abraham lincoln in 1860,1.0
3,3,"The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote. ",the proposal never coming to a vote,"what was the result of the secession crisis following lincoln ' s election ?
",178,212,the proposal never coming to a vote,1.0
4,4,The city 's political institutions and the university were all handed over to the Huguenots. Tension with Paris led to a siege by the royal army in 1622. Peace terms called for the dismantling of the city 's fortifications.,Tension with Paris,"what led to a siege by the royal army in 1622 ?
",93,110,tension with paris,1.0
5,5,The city 's political institutions and the university were all handed over to the Huguenots. Tension with Paris led to a siege by the royal army in 1622. Peace terms called for the dismantling of the city 's fortifications.,a siege by the royal army in 1622,"what was the result of the tension with paris ?
",119,151,a siege by the royal army,0.8
6,6,"Steam engines can be said to have been the moving force behind the Industrial Revolution and saw widespread commercial use driving machinery in factories, mills and mines; powering pumping stations; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles. Their use in agriculture led to an increase in the land available for cultivation. There have at one time or another been steam-powered farm tractors, motorcycles (without much success) and even automobiles as the Stanley Steamer.",Their use in agriculture,"what led to an increase in the land available for cultivation ?
",301,324,their use in agriculture,1.0
7,7,"Steam engines can be said to have been the moving force behind the Industrial Revolution and saw widespread commercial use driving machinery in factories, mills and mines; powering pumping stations; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles. Their use in agriculture led to an increase in the land available for cultivation. There have at one time or another been steam-powered farm tractors, motorcycles (without much success) and even automobiles as the Stanley Steamer.",an increase in the land available for cultivation,"what did the use of steam engines in agriculture lead to ?
",333,381,an increase in the land available for cultivation,1.0
8,8,"The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam. The experimental measurements made by Watt on a model steam engine led to the development of the separate condenser. Watt independently discovered latent heat, which was confirmed by the original discoverer Joseph Black, who also advised Watt on experimental procedures.",Watt on a model steam engine,"where did watt make the measurements that led to the separate condenser ?
",333,360,a model steam engine,0.7499999999999999
9,9,"The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam. The experimental measurements made by Watt on a model steam engine led to the development of the separate condenser. Watt independently discovered latent heat, which was confirmed by the original discoverer Joseph Black, who also advised Watt on experimental procedures.",the development of the separate condenser,"what did the measurements made by watt on a model steam engine lead to ?
",369,409,the development of the separate condenser,1.0
10,10," The energy crisis led to greater interest in renewable energy, nuclear power and domestic fossil fuels. There is criticism that American energy policies since the crisis have been dominated by crisis-mentality thinking, promoting expensive quick fixes and single-shot solutions that ignore market and technology realities.",The energy crisis,"what led to greater interest in renewable energy , nuclear power and domestic fossil fuels ?
",1,17,the energy crisis,1.0
11,11," The energy crisis led to greater interest in renewable energy, nuclear power and domestic fossil fuels. There is criticism that American energy policies since the crisis have been dominated by crisis-mentality thinking, promoting expensive quick fixes and single-shot solutions that ignore market and technology realities.","greater interest in renewable energy, nuclear power and domestic fossil fuels","what did the energy crisis lead to ?
",26,102,"greater interest in renewable energy , nuclear power and domestic fossil fuels",1.0
12,12,"The soils in the Amazon are productive for just a short period of time, so farmers are constantly moving to new areas and clearing more land. These farming practices led to deforestation and caused extensive environmental damage. Deforestation is considerable, and areas cleared of forest are visible to the naked eye from outer space.",These farming practices,"what led to deforestation in the amazon ?
",142,164,farming practices,0.8
13,13,"The soils in the Amazon are productive for just a short period of time, so farmers are constantly moving to new areas and clearing more land. These farming practices led to deforestation and caused extensive environmental damage. Deforestation is considerable, and areas cleared of forest are visible to the naked eye from outer space.",deforestation and caused extensive environmental damage,"what did these farming practices lead to ?
",173,227,deforestation,0.2857142857142857
14,14,"However, economic recovery had been observed at the beginning of the 14th century. In the 1330s a large number of natural disasters and plagues led to widespread famine, starting in 1331, with a deadly plague arriving soon after. Epidemics that may have included plague killed an estimated 25 million Chinese and other Asians during the 15 years before it reached Constantinople in 1347.",the 1330s a large number of natural disasters and plagues,"what caused widespread famine in the 14th century ?
",86,142,economic recovery,0.0
15,15,"However, economic recovery had been observed at the beginning of the 14th century. In the 1330s a large number of natural disasters and plagues led to widespread famine, starting in 1331, with a deadly plague arriving soon after. Epidemics that may have included plague killed an estimated 25 million Chinese and other Asians during the 15 years before it reached Constantinople in 1347.",widespread famine,"what did a large number of natural disasters and plagues cause in the 1330s ?
",151,167,widespread famine,1.0
16,16,"Thus, the contracts must be designed to ensure that each side is capable of performing the obligations set out. Contracts that set out clear expectations and clear paths to accomplishing those expectations are far more likely to result in the project flowing smoothly, whereas poorly drafted contracts lead to confusion and collapse. ",contracts,"what must be designed to ensure that each side is capable of performing the obligations set out ?
",10,18,the contracts,1.0
17,17,"Thus, the contracts must be designed to ensure that each side is capable of performing the obligations set out. Contracts that set out clear expectations and clear paths to accomplishing those expectations are far more likely to result in the project flowing smoothly, whereas poorly drafted contracts lead to confusion and collapse. ",confusion and collapse,"what do poorly drafted contracts lead to ?
",310,331,confusion and collapse,1.0
