,Unnamed: 0,context,answer,question,start_idx,end_idx,predicted_answer,score
0,0,"The Normans are noted both for their culture, such as their unique Romanesque architecture and musical traditions, and for their significant military accomplishments and innovations. Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066. Norman cultural and military influence spread from these new European centres to the Crusader states of the Near East, where their prince Bohemond I founded the Principality of Antioch in the Levant, to Scotland and Wales in Great Britain, to Ireland, and to the coasts of north Africa and the Canary Islands.",William the Conqueror,"what was the name of the norman duke ?
",354,374,william the conqueror,1.0
1,1,"The Normans are noted both for their culture, such as their unique Romanesque architecture and musical traditions, and for their significant military accomplishments and innovations. Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066. Norman cultural and military influence spread from these new European centres to the Crusader states of the Near East, where their prince Bohemond I founded the Principality of Antioch in the Levant, to Scotland and Wales in Great Britain, to Ireland, and to the coasts of north Africa and the Canary Islands.",the Norman conquest of England at the Battle of Hastings in 1066,"what happened when william the conqueror led an expedition to england ?
",384,447,led to the norman conquest of england at the battle of hastings in 1066,0.9090909090909091
2,2,"The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote. ",the secession crisis following the election of Abraham Lincoln in 1860,"why did the proposal never come to a vote ?
",100,169,the secession crisis following the election of abraham lincoln in 1860,1.0
3,3,"The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote. ",the proposal never coming to a vote,"what happened when the secession crisis following the election of abraham lincoln happened ?
",178,212,the secession crisis following the election of abraham lincoln in 1860,0.0
4,4,The city 's political institutions and the university were all handed over to the Huguenots. Tension with Paris led to a siege by the royal army in 1622. Peace terms called for the dismantling of the city 's fortifications.,Tension with Paris,"what led to a siege by the royal army in 1622 ?
",93,110,tension with paris,1.0
5,5,The city 's political institutions and the university were all handed over to the Huguenots. Tension with Paris led to a siege by the royal army in 1622. Peace terms called for the dismantling of the city 's fortifications.,a siege by the royal army in 1622,"what happened when tension with paris led to a siege ?
",119,151,peace terms called for the dismantling of the city ' s fortifications,0.0
6,6,"Steam engines can be said to have been the moving force behind the Industrial Revolution and saw widespread commercial use driving machinery in factories, mills and mines; powering pumping stations; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles. Their use in agriculture led to an increase in the land available for cultivation. There have at one time or another been steam-powered farm tractors, motorcycles (without much success) and even automobiles as the Stanley Steamer.",Their use in agriculture,"why was there an increase in the land available for cultivation ?
",301,324,their use in agriculture led to an increase in the land available for cultivation,0.5
7,7,"Steam engines can be said to have been the moving force behind the Industrial Revolution and saw widespread commercial use driving machinery in factories, mills and mines; powering pumping stations; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles. Their use in agriculture led to an increase in the land available for cultivation. There have at one time or another been steam-powered farm tractors, motorcycles (without much success) and even automobiles as the Stanley Steamer.",an increase in the land available for cultivation,"what did the use of steam engines in agriculture lead to ?
",333,381,led to an increase in the land available for cultivation,0.8571428571428571
8,8,"The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam. The experimental measurements made by Watt on a model steam engine led to the development of the separate condenser. Watt independently discovered latent heat, which was confirmed by the original discoverer Joseph Black, who also advised Watt on experimental procedures.",Watt on a model steam engine,"what caused the development of the separate condenser ?
",333,360,the experimental measurements made by watt on a model steam engine,0.7142857142857143
9,9,"The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam. The experimental measurements made by Watt on a model steam engine led to the development of the separate condenser. Watt independently discovered latent heat, which was confirmed by the original discoverer Joseph Black, who also advised Watt on experimental procedures.",the development of the separate condenser,"what did the measurements made by watt on a model steam engine lead to ?
",369,409,led to the development of the separate condenser,0.8
10,10," The energy crisis led to greater interest in renewable energy, nuclear power and domestic fossil fuels. There is criticism that American energy policies since the crisis have been dominated by crisis-mentality thinking, promoting expensive quick fixes and single-shot solutions that ignore market and technology realities.",The energy crisis,"what led to greater interest in renewable energy , nuclear power and domestic fossil fuels ?
",1,17,the energy crisis,1.0
11,11," The energy crisis led to greater interest in renewable energy, nuclear power and domestic fossil fuels. There is criticism that American energy policies since the crisis have been dominated by crisis-mentality thinking, promoting expensive quick fixes and single-shot solutions that ignore market and technology realities.","greater interest in renewable energy, nuclear power and domestic fossil fuels","what did the energy crisis lead to ?
",26,102,"greater interest in renewable energy , nuclear power and domestic fossil fuels",1.0
12,12,"The soils in the Amazon are productive for just a short period of time, so farmers are constantly moving to new areas and clearing more land. These farming practices led to deforestation and caused extensive environmental damage. Deforestation is considerable, and areas cleared of forest are visible to the naked eye from outer space.",These farming practices,"what caused deforestation in the amazon ?
",142,164,farming practices,0.8
13,13,"The soils in the Amazon are productive for just a short period of time, so farmers are constantly moving to new areas and clearing more land. These farming practices led to deforestation and caused extensive environmental damage. Deforestation is considerable, and areas cleared of forest are visible to the naked eye from outer space.",deforestation and caused extensive environmental damage,"what did these farming practices lead to ?
",173,227,deforestation and caused extensive environmental damage,1.0
14,14,"However, economic recovery had been observed at the beginning of the 14th century. In the 1330s a large number of natural disasters and plagues led to widespread famine, starting in 1331, with a deadly plague arriving soon after. Epidemics that may have included plague killed an estimated 25 million Chinese and other Asians during the 15 years before it reached Constantinople in 1347.",the 1330s a large number of natural disasters and plagues,"what caused widespread famine in the 14th century ?
",86,142,in the 1330s a large number of natural disasters and plagues,0.9411764705882353
15,15,"However, economic recovery had been observed at the beginning of the 14th century. In the 1330s a large number of natural disasters and plagues led to widespread famine, starting in 1331, with a deadly plague arriving soon after. Epidemics that may have included plague killed an estimated 25 million Chinese and other Asians during the 15 years before it reached Constantinople in 1347.",widespread famine,"what happened in the 1330s ?
",151,167,a large number of natural disasters and plagues led to widespread famine,0.3076923076923077
16,16,"Thus, the contracts must be designed to ensure that each side is capable of performing the obligations set out. Contracts that set out clear expectations and clear paths to accomplishing those expectations are far more likely to result in the project flowing smoothly, whereas poorly drafted contracts lead to confusion and collapse. ",contracts,"what must be designed to ensure that each side is capable of performing the obligations set out ?
",10,18,contracts,1.0
17,17,"Thus, the contracts must be designed to ensure that each side is capable of performing the obligations set out. Contracts that set out clear expectations and clear paths to accomplishing those expectations are far more likely to result in the project flowing smoothly, whereas poorly drafted contracts lead to confusion and collapse. ",confusion and collapse,"what happens to poorly drafted contracts ?
",310,331,lead to confusion and collapse,0.7499999999999999
18,18," For most of human history higher material living standards--full stomachs, access to clean water and warmth from fuel--led to better health and longer lives. This pattern of higher incomes-longer lives still holds among poorer countries, where life expectancy increases rapidly as per capita income increases, but in recent decades it has slowed down among middle income countries and plateaued among the richest thirty or so countries in the world.","full stomachs, access to clean water and warmth from fuel","why has higher material living standards led to better health and longer lives ?
",61,117,for most of human history,0.0
19,19," For most of human history higher material living standards--full stomachs, access to clean water and warmth from fuel--led to better health and longer lives. This pattern of higher incomes-longer lives still holds among poorer countries, where life expectancy increases rapidly as per capita income increases, but in recent decades it has slowed down among middle income countries and plateaued among the richest thirty or so countries in the world.",better health and longer lives,"what did higher material living standards lead to ?
",127,156,better health and longer lives,1.0
20,20,"Secondly, aspirational consumption describes the process of middle income earners aspiring to achieve the standards of living enjoyed by their wealthier counterparts and one method of achieving this aspiration is by taking on debt. The result leads to even greater inequality and potential economic instability. ",The result,"what leads to even greater inequality and potential economic instability ?
",232,241,,0.0
21,21,"Secondly, aspirational consumption describes the process of middle income earners aspiring to achieve the standards of living enjoyed by their wealthier counterparts and one method of achieving this aspiration is by taking on debt. The result leads to even greater inequality and potential economic instability. ",even greater inequality and potential economic instability,"what happens as a result of taking on debt ?
",252,309,leads to even greater inequality and potential economic instability,0.8750000000000001
22,22," From the late 1340s onwards, people in the countryside suffered from frequent natural disasters such as droughts, floods and the resulting famines, and the government 's lack of effective policy led to a loss of popular support. In 1351, the Red Turban Rebellion started and grew into a nationwide uprising.",the government 's lack of effective policy,"what caused the loss of popular support ?
",153,194,the government ' s lack of effective policy,1.0
23,23," From the late 1340s onwards, people in the countryside suffered from frequent natural disasters such as droughts, floods and the resulting famines, and the government 's lack of effective policy led to a loss of popular support. In 1351, the Red Turban Rebellion started and grew into a nationwide uprising.",a loss of popular support,"what did the government ' s lack of effective policy lead to ?
",203,227,a loss of popular support,1.0
24,24,"This reduces the probability that pathogens will reach sufficient numbers to cause illness. However, since most antibiotics non-specifically target bacteria and do not affect fungi, oral antibiotics can lead to an ""overgrowth"" of fungi and cause conditions such as a vaginal candidiasis (a yeast infection). There is good evidence that re-introduction of probiotic flora, such as pure cultures of the lactobacilli normally found in unpasteurized yogurt, helps restore a healthy balance of microbial populations in intestinal infections in children and encouraging preliminary data in studies on bacterial gastroenteritis, inflammatory bowel diseases, urinary tract infection and post-surgical infections.",oral antibiotics,"what can cause an overgrowth of fungi ?
",182,197,oral antibiotics,1.0
25,25,"This reduces the probability that pathogens will reach sufficient numbers to cause illness. However, since most antibiotics non-specifically target bacteria and do not affect fungi, oral antibiotics can lead to an ""overgrowth"" of fungi and cause conditions such as a vaginal candidiasis (a yeast infection). There is good evidence that re-introduction of probiotic flora, such as pure cultures of the lactobacilli normally found in unpasteurized yogurt, helps restore a healthy balance of microbial populations in intestinal infections in children and encouraging preliminary data in studies on bacterial gastroenteritis, inflammatory bowel diseases, urinary tract infection and post-surgical infections.","an ""overgrowth"" of fungi and cause conditions such as a vaginal candidiasis (a yeast infection)","what happens to fungi when oral antibiotics are used ?
",211,305,"overgrowth "" of fungi",0.4
26,26,"The Confederation of the Rhine was established by Napoleon, as a French client state, in 1806 and lasted until 1814, during which time it served as a significant source of resources and military manpower for the First French Empire. In 1840, the Rhine crisis, prompted by French prime minister Adolphe Thiers 's desire to reinstate the Rhine as a natural border, led to a diplomatic crisis and a wave of nationalism in Germany. ",French prime minister Adolphe Thiers 's desire to reinstate the Rhine as a natural border,"why was the rhine crisis ?
",272,360,prompted by french prime minister adolphe thiers ' s desire to reinstate the rhine as a natural border,0.9285714285714286
27,27,"The Confederation of the Rhine was established by Napoleon, as a French client state, in 1806 and lasted until 1814, during which time it served as a significant source of resources and military manpower for the First French Empire. In 1840, the Rhine crisis, prompted by French prime minister Adolphe Thiers 's desire to reinstate the Rhine as a natural border, led to a diplomatic crisis and a wave of nationalism in Germany. ",a diplomatic crisis and a wave of nationalism in Germany,"what happened when the rhine crisis happened in 1840 ?
",370,425,led to a diplomatic crisis and a wave of nationalism in germany,0.888888888888889
