,Pattern_id,Text,Cause,Effect,cause_question,effect_question
0,86,"The Normans are noted both for their culture , such as their unique Romanesque architecture and musical traditions , and for their significant military accomplishments and innovations .Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines , and an expedition on behalf of their duke , William the Conqueror , led to the Norman conquest of England at the Battle of Hastings in 1066 .Norman cultural and military influence spread from these new European centres to the Crusader states of the Near East , where their prince Bohemond I founded the Principality of Antioch in the Levant , to Scotland and Wales in Great Britain , to Ireland , and to the coasts of north Africa and the Canary Islands .",William the Conqueror,the Norman conquest of England at the Battle of Hastings in 1066,"who was the duke of sicily in 1066 ?
","what did william the conqueror ' s expedition lead to ?
"
1,80,"Most Norman knights remained poor and land-hungry , and by 1066 Normandy had been exporting fighting horsemen for more than a generation .Many Normans of Italy , France and England eventually served as avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart .Soon after the Normans began to enter Italy , they entered the Byzantine Empire and then Armenia , fighting against the Pechenegs , the Bulgars , and especially the Seljuk Turks .",avid Crusaders under the Italo-Norman prince Bohemund I and the Anglo-Norman king Richard the Lion-Heart .,"Many Normans of Italy , France and England eventually served","what did many normans of italy , france and england serve as ?
","who became avid crusaders under italo - norman prince bohemund i ?
"
2,80,"Several families of Byzantine Greece were of Norman mercenary origin during the period of the Comnenian Restoration , when Byzantine emperors were seeking out western European warriors .The Raoulii were descended from an Italo-Norman named Raoul , the Petraliphae were descended from a Pierre d'Aulps , and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038 .Robert Guiscard , an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes , ultimately drove the Byzantines out of southern Italy .",the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038 .,group of Albanian clans known,"how did the maniakates get their name ?
","what were the maniakates ?
"
3,80,"The Raoulii were descended from an Italo-Norman named Raoul , the Petraliphae were descended from a Pierre d'Aulps , and that group of Albanian clans known as the Maniakates were descended from Normans who served under George Maniaces in the Sicilian expedition of 1038 .Robert Guiscard , an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes , ultimately drove the Byzantines out of southern Italy .Having obtained the consent of pope Gregory VII and acting as his vassal , Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church .","the result of his military successes , ultimately drove the Byzantines out of southern Italy .","Robert Guiscard , an other Norman adventurer previously elevated to the dignity of count of Apulia","why was robert guiscard elevated to count of apulia ?
","who drove the byzantines out of southern italy ?
"
4,81,"Robert Guiscard , an other Norman adventurer previously elevated to the dignity of count of Apulia as the result of his military successes , ultimately drove the Byzantines out of southern Italy .Having obtained the consent of pope Gregory VII and acting as his vassal , Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church .After allying himself with Croatia and the Catholic cities of Dalmatia , in 1081 he led an army of 30,000 men in 300 ships landing on the southern shores of Albania , capturing Valona , Kanina , Jericho -LRB- Orikumi -RRB- , and reaching Butrint after numerous pillages .",Having obtained the consent of pope Gregory VII and acting as his vassal,Robert continued his campaign conquering the Balkan peninsula as a foothold for western feudal lords and the Catholic Church .,"why did robert guiscard continue his conquest of the balkan peninsula ?
","what did robert guiscard do as a vassal of the pope ?
"
5,76,"Under these harsh circumstances , the locals accepted the call of emperor Alexius I Comnenus to join forces with the Byzantines against the Normans .The Albanian forces could not take part in the ensuing battle because it had started before their arrival .Immediately before the battle , the Venetian fleet had secured a victory in the coast surrounding the city .",it had started before their arrival .,The Albanian forces could not take part in the ensuing battle,"why couldn ' t the albanian forces take part in the battle ?
","what happened to the albanian forces when they arrived in constantinople ?
"
6,64,"The lack of supplies , disease and Byzantine resistance forced Bohemond to retreat from his campaign and sign a peace treaty with the Byzantines in the city of Deabolis .The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185 , when a large Norman army invaded Dyrrachium , owing to the betrayal of high Byzantine officials .Some time later , Dyrrachium -- one of the most important naval bases of the Adriatic -- fell again to Byzantine hands .",the betrayal of high Byzantine officials,"The further decline of Byzantine state-of-affairs paved the road to a third attack in 1185 , when a large Norman army invaded Dyrrachium","why did the normans invade dyrrachium ?
","why did the normans invade dyrrachium ?
"
7,24,"This relationship eventually produced closer ties of blood through the marriage of Emma , sister of Duke Richard II of Normandy , and King Ethelred II of England .Because of this , Ethelred fled to Normandy in 1013 , when he was forced from his kingdom by Sweyn Forkbeard .His stay in Normandy -LRB- until 1016 -RRB- influenced him and his sons by Emma , who stayed in Normandy after Cnut the Great 's conquest of the isle .","This relationship eventually produced closer ties of blood through the marriage of Emma , sister of Duke Richard II of Normandy , and King Ethelred II of England","Ethelred fled to Normandy in 1013 , when he was forced from his kingdom by Sweyn Forkbeard .","what was the result of the marriage of emma and king ethelred ii of england
","why did ethelred flee to normandy ?
"
8,80,"Yet , with time , they came to be subsumed into Irish culture to the point that it has been said that they became `` more Irish than the Irish themselves .The Normans settled mostly in an area in the east of Ireland , later known as the Pale , and also built many fine castles and settlements , including Trim Castle and Dublin Castle .Both cultures intermixed , borrowing from each other 's language , culture and outlook .","the Pale , and also built many fine castles and settlements , including Trim Castle and","The Normans settled mostly in an area in the east of Ireland , later known","what area of ireland did the normans settle in ?
","where did the normans settle in ireland ?
"
9,83,"William invaded Scotland in 1072 , riding as far as Abernethy where he met up with his fleet of ships .Malcolm submitted , paid homage to William and surrendered his son Duncan as a hostage , beginning a series of arguments as to whether the Scottish Crown owed allegiance to the King of England .Normans came into Scotland , building castles and founding noble families who would provide some future kings , such as Robert the Bruce , as well as founding a considerable number of the Scottish clans .","Malcolm submitted , paid homage to William and surrendered his",whether the Scottish Crown owed allegiance to the King of England .,"what happened to malcolm ' s son ?
","why did malcolm surrender his son to william ?
"
