,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
0,0,0,86,"The Normans are noted both for their culture, such as their unique Romanesque architecture and musical traditions, and for their significant military accomplishments and innovations. Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066. Norman cultural and military influence spread from these new European centres to the Crusader states of the Near East, where their prince Bohemond I founded the Principality of Antioch in the Levant, to Scotland and Wales in Great Britain, to Ireland, and to the coasts of north Africa and the Canary Islands.",William the Conqueror,the Norman conquest of England at the Battle of Hastings in 1066,"what was the name of the norman duke ?
","what happened when william the conqueror led an expedition to england ?
"
1,1,1,86,"The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote. ",the secession crisis following the election of Abraham Lincoln in 1860,the proposal never coming to a vote,"why did the proposal never come to a vote ?
","what happened when the secession crisis following the election of abraham lincoln happened ?
"
2,2,2,86,The city 's political institutions and the university were all handed over to the Huguenots. Tension with Paris led to a siege by the royal army in 1622. Peace terms called for the dismantling of the city 's fortifications.,Tension with Paris,a siege by the royal army in 1622,"what led to a siege by the royal army in 1622 ?
","what happened when tension with paris led to a siege ?
"
3,3,3,86,"Steam engines can be said to have been the moving force behind the Industrial Revolution and saw widespread commercial use driving machinery in factories, mills and mines; powering pumping stations; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles. Their use in agriculture led to an increase in the land available for cultivation. There have at one time or another been steam-powered farm tractors, motorcycles (without much success) and even automobiles as the Stanley Steamer.",Their use in agriculture,an increase in the land available for cultivation,"why was there an increase in the land available for cultivation ?
","what did the use of steam engines in agriculture lead to ?
"
4,4,4,86,"The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam. The experimental measurements made by Watt on a model steam engine led to the development of the separate condenser. Watt independently discovered latent heat, which was confirmed by the original discoverer Joseph Black, who also advised Watt on experimental procedures.",Watt on a model steam engine,the development of the separate condenser,"what caused the development of the separate condenser ?
","what did the measurements made by watt on a model steam engine lead to ?
"
5,5,5,86," The energy crisis led to greater interest in renewable energy, nuclear power and domestic fossil fuels. There is criticism that American energy policies since the crisis have been dominated by crisis-mentality thinking, promoting expensive quick fixes and single-shot solutions that ignore market and technology realities.",The energy crisis,"greater interest in renewable energy, nuclear power and domestic fossil fuels","what led to greater interest in renewable energy , nuclear power and domestic fossil fuels ?
","what did the energy crisis lead to ?
"
6,6,6,86,"The soils in the Amazon are productive for just a short period of time, so farmers are constantly moving to new areas and clearing more land. These farming practices led to deforestation and caused extensive environmental damage. Deforestation is considerable, and areas cleared of forest are visible to the naked eye from outer space.",These farming practices,deforestation and caused extensive environmental damage,"what caused deforestation in the amazon ?
","what did these farming practices lead to ?
"
7,7,7,86,"However, economic recovery had been observed at the beginning of the 14th century. In the 1330s a large number of natural disasters and plagues led to widespread famine, starting in 1331, with a deadly plague arriving soon after. Epidemics that may have included plague killed an estimated 25 million Chinese and other Asians during the 15 years before it reached Constantinople in 1347.",the 1330s a large number of natural disasters and plagues,widespread famine,"what caused widespread famine in the 14th century ?
","what happened in the 1330s ?
"
8,8,8,86,"Thus, the contracts must be designed to ensure that each side is capable of performing the obligations set out. Contracts that set out clear expectations and clear paths to accomplishing those expectations are far more likely to result in the project flowing smoothly, whereas poorly drafted contracts lead to confusion and collapse. ",contracts,confusion and collapse,"what must be designed to ensure that each side is capable of performing the obligations set out ?
","what happens to poorly drafted contracts ?
"
9,9,9,86," For most of human history higher material living standards--full stomachs, access to clean water and warmth from fuel--led to better health and longer lives. This pattern of higher incomes-longer lives still holds among poorer countries, where life expectancy increases rapidly as per capita income increases, but in recent decades it has slowed down among middle income countries and plateaued among the richest thirty or so countries in the world.","full stomachs, access to clean water and warmth from fuel",better health and longer lives,"why has higher material living standards led to better health and longer lives ?
","what did higher material living standards lead to ?
"
