,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
0,0,0,86,"The Normans are noted both for their culture, such as their unique Romanesque architecture and musical traditions, and for their significant military accomplishments and innovations. Norman adventurers founded the Kingdom of Sicily under Roger II after conquering southern Italy on the Saracens and Byzantines, and an expedition on behalf of their duke, William the Conqueror, led to the Norman conquest of England at the Battle of Hastings in 1066. Norman cultural and military influence spread from these new European centres to the Crusader states of the Near East, where their prince Bohemond I founded the Principality of Antioch in the Levant, to Scotland and Wales in Great Britain, to Ireland, and to the coasts of north Africa and the Canary Islands.",William the Conqueror,the Norman conquest of England at the Battle of Hastings in 1066,"what was the name of the norman duke ?
","what happened when william the conqueror led an expedition on behalf of normans ?
"
1,1,1,86,"The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote. ",the secession crisis following the election of Abraham Lincoln in 1860,the proposal never coming to a vote,"why did the proposal never come to a vote ?
","what happened as a result of the secession crisis ?
"
2,2,2,86,The city 's political institutions and the university were all handed over to the Huguenots. Tension with Paris led to a siege by the royal army in 1622. Peace terms called for the dismantling of the city 's fortifications.,Tension with Paris,a siege by the royal army in 1622,"why was a siege by the royal army in 1622 ?
","what happened when tension with paris led to a siege ?
"
3,3,3,86,"Steam engines can be said to have been the moving force behind the Industrial Revolution and saw widespread commercial use driving machinery in factories, mills and mines; powering pumping stations; and propelling transport appliances such as railway locomotives, ships, steamboats and road vehicles. Their use in agriculture led to an increase in the land available for cultivation. There have at one time or another been steam-powered farm tractors, motorcycles (without much success) and even automobiles as the Stanley Steamer.",Their use in agriculture,an increase in the land available for cultivation,"why was there an increase in the land available for cultivation ?
","what did the use of steam engines in agriculture result in ?
"
4,4,4,86,"The steam engine contributed much to the development of thermodynamic theory; however, the only applications of scientific theory that influenced the steam engine were the original concepts of harnessing the power of steam and atmospheric pressure and knowledge of properties of heat and steam. The experimental measurements made by Watt on a model steam engine led to the development of the separate condenser. Watt independently discovered latent heat, which was confirmed by the original discoverer Joseph Black, who also advised Watt on experimental procedures.",Watt on a model steam engine,the development of the separate condenser,"what caused the development of the separate condenser ?
","what did the measurements made by watt on a model steam engine lead to ?
"
5,5,5,86," The energy crisis led to greater interest in renewable energy, nuclear power and domestic fossil fuels. There is criticism that American energy policies since the crisis have been dominated by crisis-mentality thinking, promoting expensive quick fixes and single-shot solutions that ignore market and technology realities.",The energy crisis,"greater interest in renewable energy, nuclear power and domestic fossil fuels","what caused greater interest in renewable energy , nuclear power and domestic fossil fuels ?
","what did the energy crisis lead to ?
"
6,6,6,86,"The soils in the Amazon are productive for just a short period of time, so farmers are constantly moving to new areas and clearing more land. These farming practices led to deforestation and caused extensive environmental damage. Deforestation is considerable, and areas cleared of forest are visible to the naked eye from outer space.",These farming practices,deforestation and caused extensive environmental damage,"what caused deforestation in the amazon ?
","what happened as a result of these farming practices ?
"
7,7,7,86,"However, economic recovery had been observed at the beginning of the 14th century. In the 1330s a large number of natural disasters and plagues led to widespread famine, starting in 1331, with a deadly plague arriving soon after. Epidemics that may have included plague killed an estimated 25 million Chinese and other Asians during the 15 years before it reached Constantinople in 1347.",the 1330s a large number of natural disasters and plagues,widespread famine,"what caused widespread famine in the 14th century ?
","what happened in the 1330s ?
"
8,8,8,86,"Thus, the contracts must be designed to ensure that each side is capable of performing the obligations set out. Contracts that set out clear expectations and clear paths to accomplishing those expectations are far more likely to result in the project flowing smoothly, whereas poorly drafted contracts lead to confusion and collapse. ",contracts,confusion and collapse,"what must be designed to ensure that each side is capable of performing the obligations set out ?
","what happens with poorly drafted contracts ?
"
9,9,9,86," For most of human history higher material living standards--full stomachs, access to clean water and warmth from fuel--led to better health and longer lives. This pattern of higher incomes-longer lives still holds among poorer countries, where life expectancy increases rapidly as per capita income increases, but in recent decades it has slowed down among middle income countries and plateaued among the richest thirty or so countries in the world.","full stomachs, access to clean water and warmth from fuel",better health and longer lives,"why has higher material living standards led to better health and longer lives ?
","what did higher material living standards lead to ?
"
10,10,10,86,"Secondly, aspirational consumption describes the process of middle income earners aspiring to achieve the standards of living enjoyed by their wealthier counterparts and one method of achieving this aspiration is by taking on debt. The result leads to even greater inequality and potential economic instability. ",The result,even greater inequality and potential economic instability,"what leads to more inequality and potential economic instability ?
","what happens when middle income earners take on debt ?
"
11,11,11,86," From the late 1340s onwards, people in the countryside suffered from frequent natural disasters such as droughts, floods and the resulting famines, and the government 's lack of effective policy led to a loss of popular support. In 1351, the Red Turban Rebellion started and grew into a nationwide uprising.",the government 's lack of effective policy,a loss of popular support,"what caused the loss of popular support ?
","what did the government ' s lack of effective policy cause ?
"
12,12,12,86,"This reduces the probability that pathogens will reach sufficient numbers to cause illness. However, since most antibiotics non-specifically target bacteria and do not affect fungi, oral antibiotics can lead to an ""overgrowth"" of fungi and cause conditions such as a vaginal candidiasis (a yeast infection). There is good evidence that re-introduction of probiotic flora, such as pure cultures of the lactobacilli normally found in unpasteurized yogurt, helps restore a healthy balance of microbial populations in intestinal infections in children and encouraging preliminary data in studies on bacterial gastroenteritis, inflammatory bowel diseases, urinary tract infection and post-surgical infections.",oral antibiotics,"an ""overgrowth"" of fungi and cause conditions such as a vaginal candidiasis (a yeast infection)","what can cause vaginal candidiasis ?
","what happens to fungi when oral antibiotics are used ?
"
13,13,13,86,"The Confederation of the Rhine was established by Napoleon, as a French client state, in 1806 and lasted until 1814, during which time it served as a significant source of resources and military manpower for the First French Empire. In 1840, the Rhine crisis, prompted by French prime minister Adolphe Thiers 's desire to reinstate the Rhine as a natural border, led to a diplomatic crisis and a wave of nationalism in Germany. ",French prime minister Adolphe Thiers 's desire to reinstate the Rhine as a natural border,a diplomatic crisis and a wave of nationalism in Germany,"why was the rhine crisis ?
","what happened as a result of the rhine crisis ?
"
14,14,14,86,"The core consists of high areas of income and profit; the periphery is on the opposing side of the spectrum consisting of areas of low income and profit. These critical theories of Geo-politics have led to increased discussion of the meaning and impact of imperialism on the modern post-colonial world. The Russian leader Lenin suggested that ""imperialism was the highest form of capitalism, claiming that imperialism developed after colonialism, and was distinguished from colonialism by monopoly capitalism"".",These critical theories of Geo-politics,increased discussion of the meaning and impact of imperialism on the modern post-colonial world,"what has led to increased discussion of the meaning and impact of imperialism on the modern post - colonial world ?
","what has the critical theories of geo - politics led to ?
"
15,15,15,86,"Only in 1918 did it regain independence from the foreign rule and emerge as a new capital of the independent Republic of Poland. The German invasion in 1939, the massacre of the Jewish population and deportations to concentration camps led to the uprising in the Warsaw ghetto in 1943 and to the major and devastating Warsaw Uprising between August and October 1944. Warsaw gained the title of the ""Phoenix City"" because it has survived many wars, conflicts and invasions throughout its long history.","The German invasion in 1939, the massacre of the Jewish population and deportations to concentration camps",the uprising in the Warsaw ghetto in 1943 and to the major and devastating Warsaw Uprising between August and October 1944,"what caused the uprising in the warsaw ghetto ?
","what happened after the german invasion ?
"
16,16,16,86,"Monckton 's forces, including companies of Rogers ' Rangers, forcibly removed thousands of Acadians, chasing down many who resisted, and sometimes committing atrocities. More than any other factor, the cutting off of supplies to Louisbourg led to its demise. The Acadian resistance, in concert with native allies, including the Mi ` kmaq, was sometimes quite stiff, with ongoing frontier raids (against Dartmouth and Lunenburg among others).",the cutting off of supplies to Louisbourg,its demise,"what caused the demise of the acadian resistance ?
","what did the cutting off of supplies to louisbourg cause ?
"
17,17,17,86," The British failures in North America, combined with other failures in the European theater, led to the fall from power of Newcastle and his principal military advisor, the Duke of Cumberland. Newcastle and Pitt joined in an uneasy coalition in which Pitt dominated the military planning.",other failures in the European theater,"the fall from power of Newcastle and his principal military advisor, the Duke of Cumberland","what caused the fall of newcastle and the duke of cumberland ?
","what happened as a result of the british failures in north america ?
"
