Text,Question,Answer,Template
"Add coefficients to increase the number of atoms or molecules of reactants or products .","To what end do coefficients contribute?","to increase the number of atoms or molecules of reactants or products","AmPncQgTemplate"
"That action did not receive support from the scientific community since no one knows the risks to people and the environment from such a large amount of these harmful chemicals .","Why was this measure not supported by the scientific community?","since no one knows the risks to people and the environment from such a large amount of these harmful chemicals","AmCauQgTemplate"
"The tiny carp species is unique in that it has the appearance of larvae , with a reduced skeleton lacking a cranium , which leaves the brain unprotected by bone .","Why is the tiny species of carp unique?","in that it has the appearance of larvae , with a reduced skeleton lacking a cranium , which","AmCauQgTemplate"
"Metals and some other minerals are considered renewable as well because they are not destroyed when they are used .","Why are renewable energies also being considered?","because they are not destroyed when they are used","AmCauQgTemplate"
"It must be used wisely to preserve it for the future .","To what end has it been preserved?","for the future","AmPncQgTemplate"
"This gas can be captured and burned to produce electricity .","To what end can this gas be intercepted?","to produce electricity","AmPncQgTemplate"
"This gas can be captured and burned to produce electricity .","For what purpose was this gas incinerated?","to produce electricity","AmPncQgTemplate"
"Less force is needed to move objects up the gentler slope , yet the objects attain the same elevation as they would if more force were used to push them up the steeper slope .","To what end is less violence needed?","to move objects up the gentler slope","AmPncQgTemplate"
"Since glaciers can form only over land , ice ages only occur when landmasses cover the polar regions .","Why do ice ages occur only when land masses cover the polar regions?","Since glaciers can form only over land","AmCauQgTemplate"
"More confirmation that CFCs break down ozone was needed before more was done to reduce production of ozone- destroying chemicals .","To what end has more been done?","to reduce production of ozone- destroying chemicals","AmPncQgTemplate"
"The latitude mentioned above does not locate Old Faithful exactly , since a circle could be drawn that latitude north of the Equator .","Why does the above-mentioned latitude not accurately locate Old Believers?","since a circle could be drawn that latitude north of the Equator","AmCauQgTemplate"
"It is some of these large compounds that come together to form the basis of the cell .","To what end are these great connections coming together?","to form the basis of the cell","AmPncQgTemplate"
"Copernicus developed his model because it better explained the motions of the planets .","Why did Copernicus develop his model?","because it better explained the motions of the planets","AmCauQgTemplate"
"Recall that a ligament is a short band of tough connective tissue that connects bones together to form a joint .","To what end does a short band of hard connective tissue connect bones?","to form a joint","AmPncQgTemplate"
"The human body needs several ions for good health .","For what purpose does the human body need several ions?","for good health","AmPncQgTemplate"
"That s why helium balloons have to be weighted down so they wo nt float away .","For what purpose are helium balloons loaded?","so they wo nt float away","AmPncQgTemplate"
"Human activities are responsible for enormous amounts of mechanical weathering , by digging or blasting into rock to build homes , roads , and subways , or to quarry stone .","To what end do human activities dig themselves into rock?","to build homes , roads , and subways , or to quarry stone","AmPncQgTemplate"
"There will be a tremendous loss of biodiversity because forest species ca nt migrate that rapidly .","Why a huge loss of biodiversity?","because forest species ca nt migrate that rapidly","AmCauQgTemplate"
"To appreciate how high they are , consider that the melting and boiling points of water , which is not an ionic compound , are 0 C and 100 C , respectively .","For what purpose will the melting and boiling points of water, which is not an ionic compound, be 0 C or 100 C respectively?","To appreciate how high they are","AmPncQgTemplate"
"4 shows why a beam of laser light is so focused compared with ordinary light from a flashlight .","Why is laser light so focused compared to the conventional light of a flashlight?","why","AmCauQgTemplate"
"Since these fuels burn so easily , a natural gas leak in a building or an underground pipe can lead to a deadly explosion .","Why can leaking natural gas in a building or underground pipeline lead to a deadly explosion?","Since these fuels burn so easily","AmCauQgTemplate"
"Because of buoyant force , objects seem lighter in water .","Why appear brighter in the water?","Because of buoyant force","AmCauQgTemplate"
"Nuclear energy is stored in the nuclei of atoms because of the strong forces that hold the nucleus together .","Why is nuclear energy stored in the nuclei of atoms?","because of the strong forces that hold the nucleus together","AmCauQgTemplate"
"These long chains often consist of hundreds or thousands of monosaccharides bonded together to form polysaccharides .","To what end were monosaccharides bound?","to form polysaccharides","AmPncQgTemplate"
"Bones look tough , shiny , and white because they are covered by a layer called the periosteum .","Why do bones look tough, shiny and white?","because they are covered by a layer called the periosteum","AmCauQgTemplate"
"The chemical symbol has a plus sign to distinguish the ion from an atom of the element .","For what purpose does the chemical symbol have a plus sign?","to distinguish the ion from an atom of the element","AmPncQgTemplate"
"These foods are sources of nutrients needed for a healthy nervous system .","For what purpose did nutrients need?","for a healthy nervous system","AmPncQgTemplate"
"When they discovered that toxic chemicals were buried beneath their homes and school , they demanded that the government take action to clean up the area and remove the chemicals .","To what end has the government acted?","to clean up the area and remove the chemicals","AmPncQgTemplate"
"Structural formulas are often used to represent hydrocarbon compounds because the molecules can have different shapes , or structures .","Why are structural formulas often used to represent hydrocarbon compounds?","because the molecules can have different shapes , or structures","AmCauQgTemplate"
