PatternID,Text,Cause,Effect
82,"There are many other branches of geology. There is so much to know about our home planet that most geologists become specialists in one area. For example, a mineralogist studies minerals, as seen in (Figure 1.11).",There is so much,most geologists become specialists in one area .
79,"Oceanography is the study of the oceans. The word oceanology might be more accurate, since ology is the study of. Graph is to write and refers to map making.",ology is the study of .,The word oceanology might be more accurate
80,"The universe also contains black holes, other galaxies, asteroids, comets, and nebula. As big as Earth seems, the entire universe is vastly more enormous. Earth is just a tiny part of our universe.","big as Earth seems , the entire universe is vastly more enormous .","The universe also contains black holes , other galaxies , asteroids , comets , and nebula ."
81,"Meteorology is very important. Using radars and satellites, meteorologists work to predict, or forecast, the weather (Figure 1.14). The atmosphere is a thin layer of gas that surrounds Earth.",Using radars and satellites,"meteorologists work to predict , or forecast , the weather -LRB- Figure 1.14 -RRB- ."
80,Climatologists study the atmosphere. These scientists work to understand the climate as it is now. They also study how climate will change in response to global warming.,it is now .,These scientists work to understand the climate
80,"Larger sediments are dropped in steep areas, but smaller sediments can still be carried. Smaller sediments are dropped as the slope becomes less steep. Alluvial Fans",the slope becomes less steep .,Smaller sediments are dropped
29,"A flood occurs when a river overflows it banks. This might happen because of heavy rains. Floodplains As the water spreads out over the land, it slows down and drops its sediment.",This might happen,". Floodplains As the water spreads out over the land , it slows down and drops its sediment"
29,"Floodplains As the water spreads out over the land, it slows down and drops its sediment. If a river floods often, the floodplain develops a thick layer of rich soil because of all the deposits. Thats why floodplains are usually good places for growing plants.","If a river floods often , the floodplain develops a thick layer of rich soil",. Thats why floodplains are usually good places for growing plants
76,You can see how levees form in Figure 10.8. Levees occur because floodwaters deposit their biggest sediments first when they overflow the rivers banks. ,floodwaters deposit their biggest sediments first when they overflow the rivers banks .,Levees occur
80,A stalagmite is a more rounded mineral deposit that forms on the floor of a cave (Figure 10.9). Both types of formations grow in size as water keeps dripping and more minerals are deposited. ,water keeps dripping and more minerals are deposited,Both types of formations grow in size
29,"Rivers flowing over gentle slopes erode the sides of their channels more than the bottom. Large curves, called meanders, form because of erosion and deposition by the moving water. The curves are called meanders because they slowly wander over the land.","Large curves , called meanders , form",. The curves are called meanders because they slowly wander over the land
76,"Large curves, called meanders, form because of erosion and deposition by the moving water. The curves are called meanders because they slowly wander over the land. You can see how this happens in Figure 10.6.",they slowly wander over the land .,The curves are called meanders
80,"You can see how this happens in Figure 10.6. As meanders erode from side to side, they create a floodplain. This is a broad, flat area on both sides of a river.","meanders erode from side to side , they create a floodplain .",You can see how this happens in Figure 10.6 .
80,"Mountain streams may erode waterfalls. As shown in Figure 10.5, a waterfall forms where a stream flows from an area of harder to softer rock. The water erodes the softer rock faster than the harder rock.","shown in Figure 10.5 , a waterfall forms where a stream flows from an area of harder to softer rock .",Mountain streams may erode waterfalls .
80,"This causes the stream bed to drop down, like a step, creating a waterfall. As erosion continues, the waterfall gradually moves upstream. ","erosion continues , the waterfall gradually moves upstream .","This causes the stream bed to drop down , like a step , creating a waterfall ."
29,You can see an example in Figure 10.4. A mountain stream flows very quickly because of the steep slope. This causes a lot of erosion and very little deposition.,A mountain stream flows very quickly,. This causes a lot of erosion and very little deposition
80,"Gravity causes the water to flow from higher to lower ground. As the runoff flows, it may pick up loose material on the surface, such as bits of soil and sand. Runoff is likely to cause more erosion if the land is bare.","the runoff flows , it may pick up loose material on the surface , such as bits of soil and sand .",Gravity causes the water to flow from higher to lower ground .
14,"As the runoff flows, it may pick up loose material on the surface, such as bits of soil and sand. Runoff is likely to cause more erosion if the land is bare. Plants help hold the soil in place.",the land is bare .,Runoff is likely to cause more erosion
76,"Plants help hold the soil in place. The runoff water in Figure 10.3 is brown because it eroded soil from a bare, sloping field. Can you find evidence of erosion by runoff where you live?","it eroded soil from a bare , sloping field .",The runoff water in Figure 10.3 is brown
0,Runoff is an important cause of erosion. Thats because it occurs over so much of Earths surface. ,Thats because it occurs over,much of Earths surface .
80,"The water starts dropping the particles it was carrying. As the water slows, it drops the largest particles first. The smallest particles settle out last.","the water slows , it drops the largest particles first .",The water starts dropping the particles it was carrying .
68, The size of particles determines how they are carried by flowing water. This is illustrated in Figure 10.2.,flowing water,The size of particles determines how they are carried
1,"Faster-moving water has more energy. Therefore, it can carry larger particles. It can carry more particles.",Faster-moving water has more energy,it can carry larger particles .
80,"Eventually, the water deposits the materials. As water slows, larger particles are deposited. As the water slows even more, smaller particles are deposited.","water slows , larger particles are deposited .","Eventually , the water deposits the materials ."
80,"As water slows, larger particles are deposited. As the water slows even more, smaller particles are deposited. The graph in Figure 10.1 shows how water velocity and particle size influence erosion and deposition.","the water slows even more , smaller particles are deposited .","As water slows , larger particles are deposited ."
80,"You can see some of them in Figure 10.28. As a valley glacier flows through a V-shaped river valley, it scrapes away the sides of the valley. It carves a U-shaped valley with nearly vertical walls.","a valley glacier flows through a V-shaped river valley , it scrapes away the sides of the valley .",You can see some of them in Figure 10.28 .
80,"With complete preservation, the organism doesnt change much. As seen below, tree sap may cover an organism and then turn into amber. The original organism is preserved so that scientists might be able to study its DNA.","seen below , tree sap may cover an organism and then turn into amber .","With complete preservation , the organism doesnt change much ."
77,"As seen below, tree sap may cover an organism and then turn into amber. The original organism is preserved so that scientists might be able to study its DNA. Organisms can also be completely preserved in tar or ice.",The original organism is preserved,scientists might be able to study its DNA .
14,"Rock layers extend laterally, or out to the sides. They may cover very broad areas, especially if they formed at the bottom of ancient seas. Erosion may have worn away some of the rock, but layers on either side of eroded areas will still match up.",they formed at the bottom of ancient seas .,"They may cover very broad areas , especially"
0,"You can clearly see the same rock layers on opposite sides of the canyon. The matching rock layers were deposited at the same time, so they are the same age. ",The matching rock layers were deposited at the same time,they are the same age .
15,"Sediments were deposited in ancient seas in horizontal, or flat, layers. If sedimentary rock layers are tilted, they must have moved after they were deposited. ",sedimentary rock layers are tilted,they must have moved after they were deposited .
68," Geologists can learn a lot about Earths history by studying sedimentary rock layers. But in some places, theres a gap in time when no rock layers are present.",studying sedimentary rock layers,Geologists can learn a lot about Earths history
80,The laws are illustrated in Figure 11.6. Refer to the figure as you read about the laws below. ,you read about the laws below .,The laws are illustrated in Figure 11.6 . Refer to the figure
