Question Opener,Is Causal?
What is,u
What was,u
What is the,u
How many,n
What was the,u
When did,n
In what,n
What did,n
When was,n
Who was,n
What are,u
What does,n
In what year,n
What type,n
What type of,n
When was the,n
When did the,n
How much,n
What year,n
Where did,n
Who was the,n
In what year did,n
What did the,n
What is the name,n
What is the name of,n
What do,n
What was the name,n
Where is,n
What was the name of,n
Who did,n
Where was,n
Who is,n
Along with,u
What is the name of the,n
What kind,n
What kind of,n
What is a,u
How long,n
What are the,u
How did,n
What year did,n
What were,u
What percentage,n
In what year was,n
What was the name of the,n
What percentage of,n
What does the,u
On what,n
In which,n
Why did,y
Where is the,n
How many people,n
What year was,n
What is one,u
What can,u
Where was the,n
Where did the,n
Where does,n
What is another,u
According to,u
In what year did the,n
How is,n
When were,n
What has,n
Who is the,n
What were the,u
In the,u
Why,y
