,PatternID,Text,Cause,Effect
24,144,", the set -LCB- 0,1 -RCB- -RRB- , and thus the strings are bitstrings . As in a real-world computer , mathematical objects other than bitstrings must be suitably encoded . For example , integers can be represented in binary notation , and graphs can be encoded directly via their adjacency matrices , or by encoding their adjacency lists in binary . ",in a real-world computer,mathematical objects other than bitstrings must be suitably encoded .
28,144,"Most influential among these was the definition of Turing machines by Alan Turing in 1936 , which turned out to be a very robust and flexible simplification of a computer . As Fortnow & Homer -LRB- 2003 -RRB- point out , the beginning of systematic studies in computational complexity is attributed to the seminal paper `` On the Computational Complexity of Algorithms '' by Juris Hartmanis and Richard Stearns -LRB- 1965 -RRB- , which laid out the definitions of time and space complexity and proved the hierarchy theorems . Also , in 1965 Edmonds defined a `` good '' algorithm as one with running time bounded by a polynomial of the input size . ",Fortnow & Homer -LRB- 2003 -RRB- point out,"the beginning of systematic studies in computational complexity is attributed to the seminal paper `` On the Computational Complexity of Algorithms '' by Juris Hartmanis and Richard Stearns -LRB- 1965 -RRB- , which laid out the definitions of time and space complexity and proved the hierarchy theorems ."
34,144,"Each region is further divided into many culturally distinct areas but as a whole combine to create the southern California atmosphere . As of the 2010 United States Census , southern California has a population of 22,680,010 . Despite a reputation for high growth rates , southern California 's rate grew less than the state average of 10 . ",of the 2010 United States Census,"southern California has a population of 22,680,010 ."
38,144,"In September 2007 , Sky launched a new TV advertising campaign targeting Sky + at women . As of 31 March 2008 , Sky had 3,393,000 Sky + users . BSkyB utilises the VideoGuard pay-TV scrambling system owned by NDS , a Cisco Systems company . ",of 31 March 2008,"Sky had 3,393,000 Sky + users ."
43,144,"Currently there is no indication as to whether the new deal includes the additional Video On Demand and High Definition content which had previously been offered by BSkyB . As part of the agreements , both BSkyB and Virgin Media agreed to terminate all High Court proceedings against each other relating to the carriage of their respective basic channels . The economy of Victoria is highly diversified : service sectors including financial and property services , health , education , wholesale , retail , hospitality and manufacturing constitute the majority of employment . ",part of the agreements,both BSkyB and Virgin Media agreed to terminate all High Court proceedings against each other relating to the carriage of their respective basic channels .
44,144,"Victoria produced in the decade 1851 -- 1860 20 million ounces of gold , one third of the world 's output -LSB- citation needed -RSB- . As of August 2010 , Victoria had 1,548 public schools , 489 Catholic schools and 214 independent schools . Just under 540,800 students were enrolled in public schools , and just over 311,800 in private schools . ",of August 2010,"Victoria had 1,548 public schools , 489 Catholic schools and 214 independent schools ."
46,144,"This represented 24 % of national agricultural production total gross value . As of 2004 , an estimated 32,463 farms occupied around 136,000 square kilometres -LRB- 52,500 sq mi -RRB- of Victorian land . This comprises more than 60 % of the state 's total land surface . ",of 2004,"an estimated 32,463 farms occupied around 136,000 square kilometres -LRB- 52,500 sq mi -RRB- of Victorian land ."
47,144,"Huguenot numbers peaked near an estimated two million by 1562 , concentrated mainly in the southern and central parts of France , about one-eighth the number of French Catholics . As Huguenots gained influence and more openly displayed their faith , Catholic hostility grew , in spite of increasingly liberal political concessions and edicts of toleration from the French crown . A series of religious conflicts followed , known as the Wars of Religion , fought intermittently from 1562 to 1598 . ",Huguenots gained influence and more openly displayed their faith,"Catholic hostility grew , in spite of increasingly liberal political concessions and edicts of toleration from the French crown ."
56,144,"Louise de Coligny , daughter of the murdered Huguenot leader Gaspard de Coligny , married William the Silent , leader of the Dutch -LRB- Calvinist -RRB- revolt against Spanish -LRB- Catholic -RRB- rule . As both spoke French in daily life , their court church in the Prinsenhof in Delft held services in French . The practice has continued to the present day . ",both spoke French in daily life,their court church in the Prinsenhof in Delft held services in French .
60,144,"These cylinders are designed to divide the work into equal shares for each expansion stage . As with the double expansion engine , if space is at a premium , then two smaller cylinders may be used for the low-pressure stage . Multiple expansion engines typically had the cylinders arranged inline , but various other formations were used . ",with the double expansion engine,"if space is at a premium , then two smaller cylinders may be used for the low-pressure stage ."
