,PatternID,Text,Cause,Effect
145,144,"This causes the stream bed to drop down, like a step, creating a waterfall. As erosion continues, the waterfall gradually moves upstream. ",erosion continues,the waterfall gradually moves upstream.
146,144,"Gravity causes the water to flow from higher to lower ground. As the runoff flows, it may pick up loose material on the surface, such as bits of soil and sand. Runoff is likely to cause more erosion if the land is bare.",the runoff flows,"it may pick up loose material on the surface, such as bits of soil and sand."
147,144,"The water starts dropping the particles it was carrying. As the water slows, it drops the largest particles first. The smallest particles settle out last.",the water slows,it drops the largest particles first.
148,144,"Eventually, the water deposits the materials. As water slows, larger particles are deposited. As the water slows even more, smaller particles are deposited.",water slows,larger particles are deposited.
149,144,"As water slows, larger particles are deposited. As the water slows even more, smaller particles are deposited. The graph in Figure 10.1 shows how water velocity and particle size influence erosion and deposition.",the water slows even more,smaller particles are deposited.
151,144,"With complete preservation, the organism doesnt change much. As seen below, tree sap may cover an organism and then turn into amber. The original organism is preserved so that scientists might be able to study its DNA.",seen below,tree sap may cover an organism and then turn into amber.
153,144,"A living thing takes in carbon-14 (along with stable carbon-12). As the carbon-14 decays, it is replaced with more carbon-14. After the organism dies, it stops taking in carbon.",the carbon-14 decays,it is replaced with more carbon-14.
154,144,"The cloud contracted and began to spin. As it contracted, its temperature and pressure increased. The cloud spun faster, and formed into a disk.",it contracted,its temperature and pressure increased.
159,144,"Condensation changes water vapor to liquid water. As air rises higher into the atmosphere, it cools. Cool air can hold less water vapor than warm air.",air rises higher into the atmosphere,it cools.
160,144,"A stream ends at its mouth. As the water flows into the body of water, it slows down and drops the sediment it was carrying. The sediment may build up to form a delta.",the water flows into the body of water,it slows down and drops the sediment it was carrying.
164,144,"More water vapor came from asteroids and comets that crashed into Earth. As Earth cooled still more, the water vapor condensed to make Earths first liquid water. At last, the oceans could start to form.",Earth cooled still more,the water vapor condensed to make Earths first liquid water.
168,144,"A tsunami is a wave or set of waves that is usually caused by an earthquake. As we have seen in recent years, the waves can be enormous and extremely destructive. Usually tsunami waves travel through the ocean unnoticed.",we have seen in recent years,the waves can be enormous and extremely destructive.
171,144,"The warm air is less dense, so it rises. As it rises, it cools. The cool air is dense, so it sinks to the surface.",it rises,it cools.
177,144,"Tropical climates are found around the equator. As youd expect, these climates have warm temperatures year round. Tropical climates may be very wet or wet and dry.",youd expect,these climates have warm temperatures year round.
178,144,"Wetlands have a great diversity of species. As wetlands shrink, species go extinct. People have allowed alien or invasive species - species originally from a different area - to invade new habitats.",wetlands shrink,species go extinct.
179,144,"More children lived long enough to reach adulthood and have children of their own. As the death rate fell, the birth rate stayed high for a while. This caused rapid population growth.",the death rate fell,the birth rate stayed high for a while.
180,144,"The school and hundreds of homes were also built over the old canal. As it turned out, the cheap price was no bargain. Chemicals started leaking from the barrels.",it turned out,the cheap price was no bargain.
185,144,"We already use six times as much water today as we did a hundred years ago. As the number of people rises, our need for water will grow. By the year 2025, only half the worlds people will have enough clean water.",the number of people rises,our need for water will grow.
193,144,"If you look at Earth from the North Pole, the planet spins counterclockwise. As the Earth rotates, you see the Sun moving across the sky from east to west. We often say that the Sun is rising or setting.",the Earth rotates,you see the Sun moving across the sky from east to west.
194,144,"Earths rotation is also responsible for this too. As Earth turns, the Moon and stars change position in the sky. ",Earth turns,the Moon and stars change position in the sky.
196,144,"The hemisphere that is tilted away from the Sun is cooler because it receives less direct rays. As Earth orbits the Sun, the Northern Hemisphere goes from winter to spring, then summer and fall. The Southern Hemisphere does the opposite from summer to fall to winter to spring.",Earth orbits the Sun,"the Northern Hemisphere goes from winter to spring, then summer and fall."
197,144,"Rotation is what a top does around its spindle. As Earth spins on its axis, it also orbits around the Sun. This is called Earths revolution.",Earth spins on its axis,it also orbits around the Sun.
202,144,"It only reflects light from the Sun. As the Moon moves around the Earth, we see different parts of the Moon lit up by the Sun. This causes the phases of the Moon.",the Moon moves around the Earth,we see different parts of the Moon lit up by the Sun.
203,144,"This causes the phases of the Moon. As the Moon revolves around Earth, it changes from fully lit to completely dark and back again. A full moon occurs when the whole side facing Earth is lit.",the Moon revolves around Earth,it changes from fully lit to completely dark and back again.
205,144,"They are called exoplanets because they orbit a star other than the Sun. As of June 2013, 891 exoplanets have been found. More exoplanets are found all the time.",of June 2013,891 exoplanets have been found.
208,144,"As the nebula contracted, it started to spin. As it got smaller and smaller, it spun faster and faster. This is what happens when an ice skater pulls her arms to her sides during a spin move.",it got smaller and smaller,it spun faster and faster.
210,144,"Mercury also has virtually no atmosphere. As the planet rotates very slowly, the temperature varies tremendously. In direct sunlight, the surface can be as hot as 427C (801F).",the planet rotates very slowly,the temperature varies tremendously.
212,144,"Jupiter has lots of moons. As of 2011, we have discovered over 60 natural satellites of Jupiter. Four are big enough and bright enough to be seen from Earth using a pair of binoculars.",of 2011,we have discovered over 60 natural satellites of Jupiter.
214,144,"Friction with the atmosphere heats the object quickly, so it starts to vaporize. As it flies through the atmosphere, it leaves a trail of glowing gases. The object is now a meteor.",it flies through the atmosphere,it leaves a trail of glowing gases.
217,144,"The air a few inches above the coil begins to feel warm. As the coil gets hotter, it starts to glow a dull red. As it gets even hotter, it becomes a brighter red.",the coil gets hotter,it starts to glow a dull red.
218,144,"As the coil gets hotter, it starts to glow a dull red. As it gets even hotter, it becomes a brighter red. Next it turns orange.",it gets even hotter,it becomes a brighter red.
